room,scene_uid,target_total,horizontal_total,before_all_acc_simple,after_all_acc_simple,before_horizontal_acc_simple,after_horizontal_acc_simple,edits,final_movement,score_before,score_after,overlap_area_before,overlap_area_after,oob_before,oob_after,text
bedroom,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,2,1,0.5,1.0,0.0,1.0,1,1.4526833983461314,1.3750079974008276,0.2620059175102859,0.23623974202499984,0.23623974202499984,0.0,0.0,Add a black wooden wardrobe with doors and shelves in front of a black and white nightstand with a silver handle. Set up a double bed with canopy and pillows below a black pendant lamp with crystals.
bedroom,15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,1,0,1.0,1.0,0.0,0.0,0,0.0,0.03301431222599999,0.03301431222599999,0.09432660635999997,0.09432660635999997,0.0,0.0,Arrange a green and gray double bed below a pendant lamp.
bedroom,185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,2,2,0.5,1.0,0.5,1.0,1,2.7981228392105653,3.3551549857845897,0.9201670284011771,0.0853612845139938,0.04370170598948597,0.0,0.0,Position a wardrobe right of a pendant lamp. And add a black and brown double bed with a cover behind a black rattan pendant lamp.
bedroom,189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,2,2,0.0,1.0,0.0,1.0,1,2.10430661639863,1.6609258293514553,0.5213350229350491,0.0,0.0,0.0,0.0,"Put a gray wardrobe with doors and shelves right of a black and grey tv stand with drawers. Next, arrange a gray wardrobe with doors and shelves right of a grey single bed with a pillow."
bedroom,198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,1,1,0.0,0.0,0.0,0.0,0,0.0,5.0263391781996,5.0263391781996,0.075254794856,0.075254794856,0.0,0.0,Add a nightstand with a lamp in front of a red and black coffee table with two metal bowls.
bedroom,19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,2,2,0.5,1.0,0.5,1.0,1,1.4134767864085458,1.4305143228950274,0.649334868660138,0.011462086317025427,0.011462086317025427,0.0,0.0,"Position a black and brown double bed with a cover in front of a grey nightstand with three drawers. Next, arrange a black chaise longue sofa with a blanket right of a grey nightstand with three drawers."
bedroom,1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,2,2,0.5,1.0,0.5,1.0,1,2.7251453597381468,3.2096993702659313,0.5082171457557969,0.0,0.0,0.0,0.0,"Place a wooden nightstand with drawers in front of a wooden nightstand with drawers. Finnally, set up a double bed to the right of a nightstand."
bedroom,1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,2,1,1.0,1.0,1.0,1.0,0,0.0,0.406194116475662,0.406194116475662,0.048496390946249975,0.048496390946249975,0.0,0.0,Add a black and grey double bed in front of a black wardrobe with doors and drawers. And place a double bed below a black pendant lamp with a handle.
bedroom,1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,2,2,0.5,1.0,0.5,1.0,1,2.5820198135197736,2.8984918326615228,0.43468734875327597,0.07159135374999996,0.019149096388421705,0.0,0.0,"Set up a double bed to the right of a decorative wardrobe. Finnally, set up a bookshelf with shelves in front of a gray double bed with sheets and blankets."
bedroom,205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,2,1,0.5,1.0,0.0,1.0,1,1.6340358945234337,1.1139624275049078,0.20108430734281205,0.05123605557999988,0.0,0.0,0.0,"Position a brown and black double bed with bedding below a circular wooden ceiling lamp. Additionally, install a circular wooden ceiling lamp right of a stool."
bedroom,217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,1,1,0.0,0.0,0.0,0.0,3,0.8746974939962974,1.6494424190076762,1.2547047113300107,0.042770728369504955,0.008069201982215031,0.0,0.0,Arrange a black and white pendant lamp with hanging balls left of a black corner side table with a vase.
bedroom,21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,1,1,0.0,1.0,0.0,1.0,1,2.77060749850599,2.6448353685937045,0.3534501476603893,0.04564927954191573,0.04564927954191573,0.0,0.0,Arrange a nightstand with books and a bird behind a pendant lamp with six hanging shades.
bedroom,22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,2,1,0.5,1.0,0.0,1.0,1,2.8892356253346665,2.8153715898892897,0.36881889086808556,0.07159592485048491,0.04888747379407321,0.0,0.0,"Put a grey and black striped double bed right of a black and white pendant lamp with a metal base. Finnally, position a black and white pendant lamp with a metal base above a nightstand with drawers."
bedroom,23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,2,2,1.0,1.0,1.0,1.0,0,0.0,0.9088636641685937,0.9088636641685937,0.06807868909077607,0.06807868909077607,0.0,0.0,"Position a dressing table right of a plaid double bed. Additionally, arrange a dressing chair right of a plaid double bed."
bedroom,23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,2,2,0.5,0.5,0.5,0.5,0,0.0,3.397461075257464,3.397461075257464,0.04849639094624999,0.04849639094624999,0.0,0.0,Put a double bed right of a nightstand. Place a black and white square nightstand right of a black and grey double bed.
bedroom,2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,2,1,0.5,1.0,0.0,1.0,1,0.7322450359862287,0.836224416846167,0.14688892304328066,0.27990925496605384,0.1543414820712377,0.0,0.0,Position a wardrobe with doors to the left of a black pendant lamp with six lights. And arrange a grey double bed with headboard and pillows below a black pendant lamp with six lights.
bedroom,249bbe46-04df-4781-ad1a-dd7a60bfccb0_SecondBedroom-8497,2,2,0.5,0.5,0.5,0.5,0,0.0,3.3992908954309202,3.3992908954309202,0.0,0.0,0.0,0.0,Put a black nightstand with two drawers in front of a grey double bed with sheets and pillows. And add a grey double bed with sheets and pillows in front of a black nightstand with two drawers.
bedroom,25235b9f-c9cc-4dca-ac4c-69614e46e9a9_MasterBedroom-196,1,1,1.0,1.0,1.0,1.0,0,0.0,0.32568433651218737,0.32568433651218737,0.0,0.0,0.0,0.0,Put a black and brown nightstand to the left of a double bed.
bedroom,261774c0-9480-40b3-a85a-4804c96ea443_MasterBedroom-132469,2,1,1.0,1.0,1.0,1.0,0,0.0,0.16470862014954274,0.16470862014954274,0.08255576698774522,0.08255576698774522,0.0,0.0,"Position a black ceiling lamp with a round top in front of a wardrobe. Finnally, position a ceiling lamp above a green and grey double bed."
bedroom,28d8d63b-95bb-4993-bdf1-e1da13115118_MasterBedroom-104323,1,1,0.0,1.0,0.0,1.0,1,2.987713385908685,3.066642612547373,0.38494867185754217,0.31110891632765925,0.061208758709999936,0.0,0.0,Position a pendant lamp in front of a modern nightstand with two drawers.
bedroom,29aa7167-1c46-4ce0-8c58-3cfb7a7d15af_SecondBedroom-69556,2,2,1.0,1.0,1.0,1.0,0,0.0,0.8039991281022859,0.8039991281022859,0.05258476068899999,0.05258476068899999,0.0,0.0,"Set up a wardrobe with a door and drawers in front of a gray double bed with sheets and pillows. Finnally, add a black corner side table with a round top in front of a gray double bed with sheets and pillows."
bedroom,29f92b53-a723-41c9-992c-1d146ce542a7_Bedroom-6993,2,2,1.0,1.0,1.0,1.0,0,0.0,0.2817117425755948,0.2817117425755948,0.048496390946249975,0.048496390946249975,0.0,0.0,Add a black and grey double bed in front of a black wardrobe with hanging clothes. Add a black pendant lamp with a handle in front of a wardrobe.
bedroom,2b2d0238-534a-46bd-95f6-2e45a098de5e_MasterBedroom-935,2,1,0.5,1.0,0.0,1.0,1,1.6101740563388816,1.6589752439829901,0.20029621504125572,0.1239750357292613,0.005929509373114083,0.0,0.0,"Put a black and white circular pendant lamp above a black desk with drawers. Then, put a black and white double bed in front of a pendant lamp."
bedroom,2c213709-c572-4f58-92c8-d2a42199314a_SecondBedroom-2311,2,2,0.5,1.0,0.5,1.0,1,2.4077369341549195,2.6884455981859476,0.4154412998228403,0.005851420701276168,0.014042466416276322,0.0,0.0,"Place a blue single bed with cover and pillows in front of a black and brown wall mounted bookshelf. Additionally, place a blue single bed with cover and pillows to the left of a pendant lamp."
bedroom,305d3251-8f1e-4cca-9227-011187146d89_SecondBedroom-69136,2,2,1.0,1.0,1.0,1.0,0,0.0,0.5863597837997506,0.5863597837997506,0.0,0.0,0.0,0.0,"Add a wooden tv stand with two doors behind a patterned ceiling lamp. Then, put a black and white double bed to the right of a black and white wardrobe with drawers."
bedroom,30c0c5d6-30c7-43fc-95b1-e7424df97d77_Bedroom-47437,2,2,0.5,0.5,0.5,0.5,0,0.0,3.384154677388535,3.384154677388535,0.0,0.0,0.0,0.0,"Arrange a green and gray single bed in front of a nightstand. Then, add a nightstand with a lamp in front of a green and gray single bed."
bedroom,312c3afe-ae86-4823-b67e-292660fc85f8_SecondBedroom-739,1,1,0.0,0.0,0.0,0.0,0,0.0,5.007735556375785,5.007735556375785,0.022101589645099822,0.022101589645099822,0.0,0.0,Put a corner side table with a book on top left of a black circular pendant lamp with a metal frame.
bedroom,337b9770-f524-48fb-914c-89dd9f2d927e_MasterBedroom-6351,1,1,1.0,1.0,1.0,1.0,0,0.0,0.4076622281277843,0.4076622281277843,0.061968260763000015,0.061968260763000015,0.0,0.0,Arrange a nightstand behind a pendant lamp.
bedroom,38330463-78e6-4d25-bd89-9daf92d0cfb9_SecondBedroom-22370,1,1,0.0,1.0,0.0,1.0,1,3.0138908344752062,2.9466186293098695,0.38323610920873724,0.11519523319999997,0.04734059734774998,0.0,0.0,Set up a grey nightstand with a drawer to the left of a black and white circular pendant lamp.
bedroom,38e3cf4a-a67b-42d8-b467-2d1a3e5407a8_SecondBedroom-15551,1,1,1.0,1.0,1.0,1.0,0,0.0,0.2875846565617466,0.2875846565617466,0.09131457007103773,0.09131457007103773,0.0,0.0,Position a double bed with pillows and a blanket in front of a black and grey nightstand cabinet.
bedroom,39ea30b1-4302-4a07-885b-bd498facd30d_MasterBedroom-13100,1,1,1.0,1.0,1.0,1.0,0,0.0,0.19404537198808997,0.19404537198808997,0.1224999999999999,0.1224999999999999,0.0,0.0,Set up a black ceiling lamp with a lid in front of a black wardrobe with two doors.
bedroom,3b349315-8f84-4027-b654-f8ecd6d3cf67_SecondBedroom-13841,2,2,1.0,1.0,1.0,1.0,0,0.0,0.40557773327647734,0.40557773327647734,0.11351121173749998,0.11351121173749998,0.0,0.0,"Put a black and white pendant lamp with a metal frame to the right of a sliding door wardrobe. Then, add a black and white pendant lamp with a metal frame to the right of a sliding door wardrobe."
bedroom,3bf54310-1dd3-45a3-b6ce-e192f4d8ff43_Bedroom-18,2,2,0.5,1.0,0.5,1.0,2,3.7728318255897237,2.3433221839381195,0.8754227825755432,0.12012670603448493,0.12012670603448493,0.0,0.0,"Position a nightstand behind a blue double bed with blankets and pillows. Then, place a nightstand with two drawers to the right of a nightstand with two drawers."
bedroom,3bf54310-1dd3-45a3-b6ce-e192f4d8ff43_MasterBedroom-10364,2,2,0.5,1.0,0.5,1.0,1,2.877092427230062,2.8604516166435934,0.4613405765756295,0.16961465664899994,0.16961465664899994,0.0,0.0,"Put a single bed to the right of a black metal-framed wardrobe with a door. Then, set up a blue and white single bed to the right of a nightstand with a drawer."
bedroom,3e40b128-6291-41ff-89aa-0ae707a594c6_SecondBedroom-11303,1,1,0.0,1.0,0.0,1.0,1,1.1472546498257012,1.000466454413635,0.15958027202775912,0.04831346871049991,0.04831346871049991,0.0,0.0,Place a grey wardrobe with drawers behind a nightstand.
bedroom,3ec24496-80f4-4ea1-b889-b3cb902d2a47_MasterBedroom-1362,1,0,1.0,1.0,0.0,0.0,0,0.0,0.023417259303550035,0.023417259303550035,0.0669064551530001,0.0669064551530001,0.0,0.0,Arrange a ceiling lamp above a green double bed with a metal frame.
bedroom,3f60d6b9-49ba-45d9-bf03-966069127e75_SecondBedroom-34317,1,1,0.0,1.0,0.0,1.0,1,3.252632789698523,3.105098488880614,0.42503821702549255,0.08492080646191372,0.08492080646191372,0.0,0.0,Add a wooden nightstand to the left of a wooden ceiling lamp with squares.
bedroom,40415a21-d863-4c54-a088-c078346ba939_Bedroom-4098,1,1,1.0,1.0,1.0,1.0,0,0.0,0.4576204951638102,0.4576204951638102,0.2862110931899754,0.2862110931899754,0.0,0.0,Arrange a wooden wardrobe with a curtain right of a double bed.
bedroom,40dcaad6-b0b5-4030-bd90-13ceadc84ce1_Bedroom-5265,2,2,1.0,1.0,1.0,1.0,0,0.0,0.2513237395099147,0.2513237395099147,0.08582937012199994,0.08582937012199994,0.0,0.0,Position a circular ceiling lamp with a hanging rope left of a grey and black wardrobe with two doors. And add a black single bed with a white sheet to the left of a grey and black wardrobe with two doors.
bedroom,41530c87-2f3d-45fc-a696-9e3b276024a8_MasterBedroom-22121,2,0,0.5,0.5,0.0,0.0,0,0.0,0.12392085071637257,0.12392085071637257,0.3540595734753502,0.3540595734753502,0.0,0.0,"Arrange a nightstand with two drawers below a modern pendant lamp with cylinders. Additionally, position a grey and black double bed below a modern pendant lamp with cylinders."
bedroom,46d93d61-5f50-4431-b92e-9f9bd4da5b7c_Bedroom-47481,0,0,0.0,0.0,0.0,0.0,0,0.0,0.017313430862700024,0.017313430862700024,0.04946694532200007,0.04946694532200007,0.0,0.0,"Hang two hanging pendant lamps with black and white wires in front of a gold nightstand with black glass top. Additionally, arrange a yellow and gray double bed with pillows and a blanket below two hanging pendant lamps with black and white wires."
bedroom,47f1e226-bb51-4a8e-aaad-64156c826c8a_Bedroom-2160,2,2,1.0,1.0,1.0,1.0,0,0.0,0.6260872051253326,0.6260872051253326,0.10637464944115241,0.10637464944115241,0.0,0.0,"Install a black pendant lamp with crystals right of a black and white nightstand with a silver handle. Additionally, arrange a black wooden wardrobe with doors and shelves behind a double bed with canopy and pillows."
bedroom,4879b8e7-75aa-46b7-a835-bc5fcd5f9b23_SecondBedroom-9825,2,2,0.0,1.0,0.0,1.0,2,4.7382359261311455,5.739215282000652,0.5823008800388523,0.19659250954999996,0.01060733972318443,0.0,0.0,"Arrange a wooden corner side table left of a wardrobe. Additionally, put a black pendant lamp with a metal chandelier behind a wooden corner side table."
bedroom,4c364533-a3af-4a9c-9ed9-2f40f528fa04_Bedroom-1989,2,1,1.0,1.0,1.0,1.0,0,0.0,0.28590810502694647,0.28590810502694647,0.015859317700389095,0.015859317700389095,0.0,0.0,Position a double bed below a black pendant lamp with a handle. Add a black wardrobe with hanging clothes in front of a black tv stand with a shelf.
bedroom,503ebcb6-9815-4412-90ea-f0bbd59ddbe9_SecondBedroom-143,2,2,0.0,1.0,0.0,1.0,2,3.210472416671694,3.69269880195474,0.49982032923324976,0.0,0.0,0.0,0.0,"Place a cabinet behind a black wardrobe with a wooden door. Then, set up a cabinet left of a cabinet."
bedroom,50526848-e51d-48e0-bb9b-3c5c90d76c4d_SecondBedroom-13044,2,2,1.0,1.0,1.0,1.0,0,0.0,1.2160874794154781,1.2160874794154781,0.3033990467999998,0.3033990467999998,0.0,0.0,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe."
bedroom,525c4166-1792-4f4a-a9c2-1ea260cf6e39_Bedroom-8490,2,2,0.0,1.0,0.0,1.0,2,1.8336694922991037,1.8250329967539312,0.23004033907589244,0.016872053973078102,0.0,0.0,0.0,Arrange a yellow and green double bed in front of a blue and yellow striped wardrobe. And position a yellow and green double bed left of a modern black pendant lamp.
bedroom,52982a7b-ed79-44e6-bb37-f878754c07d3_MasterBedroom-424,2,1,1.0,1.0,1.0,1.0,0,0.0,0.17959676922007134,0.17959676922007134,0.08727200192321419,0.08727200192321419,0.0,0.0,"Place a grey double bed with pillows in front of a grey wardrobe with shelves. Additionally, set up a grey circular ceiling lamp with three containers above a grey double bed with pillows."
bedroom,54bdf809-f190-48e7-9b25-a9986077fc0f_SecondBedroom-32238,1,1,0.0,1.0,0.0,1.0,1,2.8500060784042374,2.7936786135136216,0.40854765566075324,0.0,0.17584836072069943,0.0,0.0,Put a black and white nightstand with a silver handle behind a double bed.
bedroom,55963844-bffe-4151-b0c0-9eb62e8aa454_SecondBedroom-258160,1,1,1.0,1.0,1.0,1.0,0,0.0,0.3032762308911553,0.3032762308911553,0.12222524365599997,0.12222524365599997,0.0,0.0,Set up a black wardrobe with doors and drawers to the left of a plaid single bed with pillows.
bedroom,56fedd11-b226-4c51-8d89-552caf24487b_SecondBedroom-19232,1,0,1.0,1.0,0.0,0.0,0,0.0,0.01339041431104999,0.01339041431104999,0.03825832660299997,0.03825832660299997,0.0,0.0,Position a gray double bed with brown pillows below a wooden pendant lamp with a wooden shade.
bedroom,578810bc-9d89-4852-921f-fb51ca7fbc53_SecondBedroom-6685,1,1,1.0,1.0,1.0,1.0,0,0.0,0.17622339843408638,0.17622339843408638,0.17490420428400005,0.17490420428400005,0.0,0.0,Place a blue and white double bed with bedding and pillows behind a grey wardrobe with drawers.
bedroom,591bd837-693c-4f91-bef7-fabf1c0ea146_SecondBedroom-24334,1,1,0.0,0.0,0.0,0.0,0,0.0,5.018792594836113,5.018792594836113,0.05369312810317973,0.05369312810317973,0.0,0.0,Place a desk with a cabinet and drawers to the right of a sliding door wardrobe.
bedroom,5a81f6c1-4742-45b0-9a1c-61fefae41430_Bedroom-35352,2,2,1.0,1.0,1.0,1.0,0,0.0,0.8823456461975921,0.8823456461975921,0.025984550429565097,0.025984550429565097,0.0,0.0,"Add a wardrobe left of a yellow and gray double bed with pillows and a blanket. Then, arrange a wardrobe to the left of a yellow and gray double bed with pillows and a blanket."
bedroom,5bd22e7d-960b-4e14-93bd-f955001f799e_MasterBedroom-4284,2,2,0.5,0.5,0.5,0.5,0,0.0,3.393558161082484,3.393558161082484,0.08108109207385493,0.08108109207385493,0.0,0.0,Add a birdhouse nightstand behind a cartoon double bed. Arrange a cartoon double bed behind a birdhouse nightstand.
bedroom,5e024c0f-0bca-4074-ac77-4b72a7629d0a_MasterBedroom-1069,1,1,0.0,1.0,0.0,1.0,1,2.9883073893288854,2.959849244046585,0.38894469978696616,0.07242232304999985,0.07242232304999985,0.0,0.0,Place a black and white nightstand with two drawers right of a grey and brown double bed.
bedroom,5e7daec3-6980-46cc-855d-8465774001a4_MasterBedroom-113,1,1,0.0,1.0,0.0,1.0,1,3.8043373282895363,3.8056133440639406,0.46152047939474433,0.0,0.0,0.0,0.0,Place a nightstand behind a nightstand with drawers and a shelf.
bedroom,5f27b15d-9586-47a1-9875-075c68a95b05_SecondBedroom-48968,2,2,0.0,1.0,0.0,1.0,1,1.7433426150557314,2.56826561061455,0.40780838786428825,0.0,0.0,0.0,0.0,"Arrange a black computer desk with a monitor and keyboard right of a nightstand. Additionally, place a black and white double bed to the left of a black computer desk with a monitor and keyboard."
bedroom,61a0705d-2f6b-4086-a80d-4b06a42fc876_MasterBedroom-9222,1,1,1.0,1.0,1.0,1.0,0,0.0,0.4198266146800995,0.4198266146800995,0.07973464168800007,0.07973464168800007,0.0,0.0,Place a black nightstand with two drawers behind a black and white striped single bed.
bedroom,61b7fad2-bbac-4728-a5e1-c574cfcf14e6_Bedroom-32051,1,1,1.0,1.0,1.0,1.0,0,0.0,0.07377245201419469,0.07377245201419469,0.0,0.0,0.0,0.0,Arrange a blue and white kids bed right of a wardrobe.
bedroom,651c37ce-c0cd-47c6-843f-3aa192235e39_MasterBedroom-86835,1,1,1.0,1.0,1.0,1.0,0,0.0,0.18141889975059777,0.18141889975059777,0.086167035177,0.086167035177,0.0,0.0,Set up a black double bed with cover and pillow in front of a grey and black square wardrobe.
bedroom,651c37ce-c0cd-47c6-843f-3aa192235e39_SecondBedroom-86888,1,1,0.0,1.0,0.0,1.0,1,1.3260967403482309,1.0070426905720964,0.16480119388413772,0.0019131001210000028,0.0019131001210000028,0.0,0.0,Arrange a wooden nightstand with a hole to the left of a wooden wardrobe with doors and drawers.
bedroom,66f99d38-f9b7-4bb0-a646-314f6228059d_MasterBedroom-9583,2,2,1.0,1.0,1.0,1.0,0,0.0,0.9186524640931177,0.9186524640931177,0.0006646966563918336,0.0006646966563918336,0.0,0.0,"Set up a blue and white single bed behind an office desk with a drawer. Finnally, set up a blue and white single bed behind an office desk with a drawer."
bedroom,67574e8b-f5a4-463f-bc05-f3e8a2cc0cb9_SecondBedroom-8823,2,1,1.0,1.0,1.0,1.0,0,0.0,0.4059302532214827,0.4059302532214827,0.171198165121,0.171198165121,0.0,0.0,"Arrange a black and grey double bed with pillows below a pendant lamp. Finnally, position a black and grey double bed with pillows left of a black and grey nightstand with a drawer."
bedroom,6799c7da-4248-4fa1-9d6d-c8acf521a414_SecondBedroom-13218,2,2,0.0,1.0,0.0,1.0,2,4.061187509443968,4.871342501642219,0.49734250113327616,0.011904680384097683,0.0,0.0,0.0,Arrange a black tv stand with a bottle of wine right of a nightstand. Add a double bed in front of a gray nightstand with a handle.
bedroom,6a8ad1d5-8c81-49bf-a752-fbe9448ff3b1_MasterBedroom-36389,2,1,0.0,0.0,0.0,0.0,0,0.0,5.0013865917010705,5.0013865917010705,0.0039616905744871795,0.0039616905744871795,0.0,0.0,Position a nightstand with drawers right of a black and white pendant lamp with blades. Set up a double bed with a drawer and a shelf below a pendant lamp.
bedroom,6a8ad1d5-8c81-49bf-a752-fbe9448ff3b1_SecondBedroom-36408,2,1,0.5,1.0,0.0,1.0,1,2.877807465837268,2.6848505717181843,0.35139563699638493,0.0030249745597500178,0.0030249745597500178,0.0,0.0,"Add a grey and black striped double bed below a ceiling lamp. Then, put a double bed behind a pendant lamp with a network of dots."
bedroom,6c600c25-ede9-4ae7-8e1e-46bf11d80227_SecondBedroom-7635,2,2,0.5,0.5,0.5,0.5,0,0.0,5.08811748323679,5.08811748323679,0.0,0.0,0.0,0.0,"Arrange a grey wardrobe with two doors behind a desk with a tray and a phone. Finnally, arrange a double bed with a doll to the right of a chair."
bedroom,6f969906-b789-4a47-a930-008d35ca0458_Bedroom-1541,2,1,1.0,1.0,1.0,1.0,0,0.0,0.14684117319799467,0.14684117319799467,0.07669133262399998,0.07669133262399998,0.0,0.0,"Arrange a double bed behind a wardrobe. Next, put a grey double bed with headboard and pillows below a brown ceiling lamp with a circular fan."
bedroom,728e0c2c-98f5-49dd-8947-7f1a37c8887f_Bedroom-11202,1,0,1.0,1.0,0.0,0.0,0,0.0,0.025130759935579904,0.025130759935579904,0.07180217124451402,0.07180217124451402,0.0,0.0,Place a grey circular ceiling lamp with three containers above a blue and white double bed.
bedroom,74eafabd-fe9b-4f87-81f4-5af7f0b566ff_Bedroom-26487,1,1,0.0,1.0,0.0,1.0,1,3.0305504328977944,2.99538754749311,0.36866605194773533,0.15934553655299996,0.0,0.0,0.0,Put a black corner side table with a square top in front of a grey double bed with sheets and pillows.
bedroom,762446b3-fdac-48d0-8044-7e965421f6fd_Bedroom-691,1,1,1.0,1.0,1.0,1.0,0,0.0,0.10692959561772328,0.10692959561772328,0.08397948110399993,0.08397948110399993,0.0,0.0,Arrange a white wardrobe with doors and drawers right of a black and white double bed.
bedroom,7696025a-291f-4b22-911b-beb13c4b598d_SecondBedroom-14817,1,1,1.0,1.0,1.0,1.0,0,0.0,0.2792189688370665,0.2792189688370665,0.25306183582400005,0.25306183582400005,0.0,0.0,Set up a wardrobe to the left of a black and white double bed.
