annotation_id,scene_id,room_type,layout_variant,relation_id,subject_class,predicate,object_class,subject_index,object_index,image_or_view_path,human_label,missing_object,visibility_quality,annotator_id,notes,source_text,source_json,raw_predicate,baseline_satisfied,repair_satisfied,subject_center_xyz,object_center_xyz
EG02-BED-0011,b2e0b670-b308-4817-b3b6-2a8b7312c18f_SecondBedroom-6261,bedroom,collision_gated_floor_prior,122:1:8-5-13,double_bed,below,pendant_lamp,1,0,,,none,,,,"Hang a black circular pendant lamp with a metal frame in front of a grey wardrobe with drawers. Then, set up a double bed below a pendant lamp.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,"[0.1910829152724105,0.5595820343372759,0.42775771468019785]","[0.04354686523408757,2.1572450296805186,0.28868373921252344]"
EG02-BED-0012,7b48d192-1ac0-406c-af41-800853de2d7f_Bedroom-41491,bedroom,collision_gated_floor_prior,88:0:3-4-4,ceiling_lamp,close to,chair,3,2,,,none,,,,Put a gray dining chair closely behind a black ceiling lamp with a lid.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_behind,0,1,"[-0.2810718125448246,2.625565535674176,-0.01624223568815042]","[-0.7897649015090278,0.40108778093719866,-0.7989293777436177]"
EG02-BED-0013,885bca04-679c-4098-a2d9-27885640ad28_MasterBedroom-22581,bedroom,collision_gated_floor_prior,99:1:7-3-4,desk,close to,chair,3,4,,,none,,,,Add a desk to the right of a green and gray single bed. Arrange a black and silver computer desk to the near left of a grey dining chair with black legs.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_left,1,1,"[1.1859098420998717,0.4065120952181761,-0.9824243627967204]","[1.8073675424899651,0.411782246012813,-0.3865381561067367]"
EG02-BED-0014,dc80719c-65f0-4662-a25c-ce747612ed07_MasterBedroom-18517,bedroom,collision_gated_floor_prior,142:0:4-9-6,4,close to,6,,,,,uncertain,,,,"Position a coffee table closely in front of a chair. Next, install a modern pendant lamp with a metal ball in front of a blue lounge chair with a metal frame.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_front,0,0,[],[]
EG02-BED-0015,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,collision_gated_floor_prior,14:0:20-2-12,wardrobe,in front of,nightstand,0,2,,,none,,,,Add a black wooden wardrobe with doors and shelves in front of a black and white nightstand with a silver handle. Set up a double bed with canopy and pillows below a black pendant lamp with crystals.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,"[-0.3361063303742342,1.0869172830898985,1.4751735046607912]","[-1.1953597681210173,0.28750535189064014,-1.331225239256608]"
EG02-BED-0016,29f92b53-a723-41c9-992c-1d146ce542a7_Bedroom-6993,bedroom,collision_gated_floor_prior,35:1:13-2-20,pendant_lamp,in front of,wardrobe,1,0,,,none,,,,Add a black and grey double bed in front of a black wardrobe with hanging clothes. Add a black pendant lamp with a handle in front of a wardrobe.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,"[0.03530210744864126,2.1788550164017804,0.19986631520520914]","[0.24819051212037646,1.2547932114621851,-1.33663457377279]"
EG02-BED-0017,503ebcb6-9815-4412-90ea-f0bbd59ddbe9_SecondBedroom-143,bedroom,collision_gated_floor_prior,58:0:20-2-2,wardrobe,in front of,cabinet,2,0,,,none,,,,"Place a cabinet behind a black wardrobe with a wooden door. Then, set up a cabinet left of a cabinet.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,"[-1.0864106641097886,1.3632703219538271,1.3824322833212568]","[-0.13683858658250525,0.30415874247910213,-0.13353956765940422]"
EG02-BED-0018,50526848-e51d-48e0-bb9b-3c5c90d76c4d_SecondBedroom-13044,bedroom,collision_gated_floor_prior,59:0:12-2-8,nightstand,in front of,double_bed,1,4,,,none,,,,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,0,1,"[-1.4305028098146442,0.3344498938256443,1.5308239491532492]","[0.8765298399735023,0.4698665667895114,0.00889464088785108]"
EG02-BED-0019,54bdf809-f190-48e7-9b25-a9986077fc0f_SecondBedroom-32238,bedroom,collision_gated_floor_prior,62:0:8-2-12,double_bed,in front of,nightstand,0,2,,,none,,,,Put a black and white nightstand with a silver handle behind a double bed.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,"[0.14636128025858897,1.1386608436702803,-0.11359116267115432]","[1.1194745455990316,0.2734675128808112,0.982776124308423]"
EG02-BED-0020,b1fb2628-f260-4bee-8db1-6f4f10520a09_MasterBedroom-1096,bedroom,collision_gated_floor_prior,120:1:20-2-10,wardrobe,in front of,dressing_table,7,8,,,none,,,,"Put a blue and white double bed with pillows below a black pendant lamp with a led light and a frame. Additionally, position a cabinet with shelves and a plant in front of a gray dressing table with a mirror and shoes.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,0,0,"[-0.29111255626350463,1.215174048972935,1.7029682703321507]","[-1.423463852809308,0.8141516125499846,-1.442152876024071]"
EG02-BED-0021,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,bedroom,collision_gated_floor_prior,1:0:8-1-12,double_bed,left,nightstand,6,2,,,none,,,,Add a double bed left of a gray nightstand with drawers. Place a gray nightstand with drawers to the right of a gray wardrobe with shelves and drawers.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,1,1,"[0.3414485640914895,0.6460325432881687,0.780885468797881]","[1.3117714408300145,0.29177904111958797,1.3699569640817533]"
EG02-BED-0022,0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,bedroom,collision_gated_floor_prior,8:1:1-1-8,bookshelf,left,double_bed,6,2,,,none,,,,"Add a grey stool with black legs behind a wooden bookshelf with shelves. Then, set up a bookshelf left of a black and white double bed.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,0,0,"[-0.8201846477735859,0.9196338972803357,1.9368911466982297]","[-0.12247779983335993,0.6726711402275447,-0.9480879814279868]"
EG02-BED-0023,10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,bedroom,collision_gated_floor_prior,9:0:18-1-13,table,left,pendant_lamp,0,2,,,none,,,,Add a corner side table with a round top to the left of a black and silver pendant lamp with lights.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,1,1,"[-1.6487872638004923,0.1610757167114572,-1.39909272029717]","[-0.15128276546996267,2.4132057066464414,0.0063406857299552755]"
EG02-BED-0024,525c4166-1792-4f4a-a9c2-1ea260cf6e39_Bedroom-8490,bedroom,collision_gated_floor_prior,60:1:8-1-13,double_bed,left,pendant_lamp,2,1,,,none,,,,Arrange a yellow and green double bed in front of a blue and yellow striped wardrobe. And position a yellow and green double bed left of a modern black pendant lamp.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,0,1,"[-1.2860986579078557,0.5233392122301845,-0.016857421615502854]","[0.035071251588521424,2.0740690812045397,-0.0594179534894943]"
EG02-BED-0025,5e024c0f-0bca-4074-ac77-4b72a7629d0a_MasterBedroom-1069,bedroom,collision_gated_floor_prior,69:0:8-1-12,double_bed,left,nightstand,4,1,,,none,,,,Place a black and white nightstand with two drawers right of a grey and brown double bed.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,1,1,"[0.6577885860994965,0.5300461240425018,0.20868987807880757]","[-0.5772337900726794,0.2674789282335672,1.2034804261478955]"
EG02-BED-0026,802ba6ac-c040-4f27-b843-8c47791d0383_MasterBedroom-19531,bedroom,collision_gated_floor_prior,93:1:12-6-12,nightstand,right,nightstand,2,2,,,none,,,,"Place a gray nightstand with a lid to the right of a black double bed with cover and pillow. Next, put a nightstand left of a gray nightstand with a lid.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,1,1,"[-1.5058945871031595,0.22725900824149114,-1.1809772745851508]","[-1.5058945871031595,0.22725900824149114,-1.1809772745851508]"
EG02-BED-0027,b45897de-6fe4-421c-b292-dfc31f3880ec_Bedroom-38427,bedroom,collision_gated_floor_prior,124:0:3-6-12,ceiling_lamp,right,nightstand,2,1,,,none,,,,Hang a black ceiling lamp with glass bulbs to the right of a nightstand.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,1,1,"[-0.17173167371473808,2.045794110871744,-0.07523534639135088]","[-1.462820813768976,0.22596595533183894,-1.3052040140489107]"
EG02-BED-0028,c45c5b4c-5fca-43b2-9770-02cd174f24c2_SecondBedroom-66007,bedroom,collision_gated_floor_prior,131:1:8-6-20,double_bed,right,wardrobe,2,4,,,none,,,,"Place a desk in front of a black and brown metal frame ceiling lamp. Then, set up a black double bed with cover and pillow to the right of a wardrobe with a door and drawers.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,1,1,"[0.5045759258698483,0.49766923141017577,-0.4573136172791754]","[-1.322178899141336,1.3952494834601479,-0.5732889589677979]"
EG02-BED-0029,e5afb85b-f9b0-48dc-9fa6-cdd46d3193b6_SecondBedroom-30334,bedroom,collision_gated_floor_prior,148:0:20-6-15,wardrobe,right,single_bed,5,3,,,none,,,,"Position a gray wardrobe with a door right of a grey single bed with a white pillow. Finnally, place a gray wardrobe with a door behind a brown nightstand with drawers.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,0,0,"[-1.7667233981946193,1.160632394443589,0.6635724219028831]","[0.2883214512033496,0.406487663772936,1.0806000844738692]"
EG02-BED-0030,ea107e07-4507-4189-aa07-445d944d5fce_MasterBedroom-40319,bedroom,collision_gated_floor_prior,151:0:8-6-13,double_bed,right,pendant_lamp,3,1,,,none,,,,Place a black and white pendant lamp with a metal frame to the left of a double bed.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,0,1,"[0.402458702148226,0.5126462407800434,-0.2659936294661258]","[1.4107248087467728,2.2020742778828764,-1.2973761778425994]"
EG02-DIN-0001,06a619f2-8939-4188-9eb3-ce01717de2b0_DiningRoom-197500,diningroom,collision_gated_floor_prior,4:0:23-7-23,wine_cabinet,behind,wine_cabinet,2,2,,,none,,,,Place a wine cabinet in front of a black and silver mirror wine cabinet.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,0,"[0.029576902972936914,1.2306261118945971,2.765842198633951]","[0.029576902972936914,1.2306261118945971,2.765842198633951]"
EG02-DIN-0002,0878fcd8-0934-4298-87a2-9813bd4c19c2_DiningRoom-26805,diningroom,collision_gated_floor_prior,5:0:11-7-10,dining_table,behind,dining_chair,1,3,,,none,,,,"Set up a black dining chair with a black frame in front of a dining table. Additionally, put a black dining table with a black top to the close right of a dining chair.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,0,"[4.485740032485329,0.3850893976234796,-0.9616821969076437]","[3.0453850004523506,0.2861496089350127,0.10383605877505486]"
EG02-DIN-0003,26146707-fd21-4520-b1fb-2ff93b2560e3_LivingDiningRoom-15610,diningroom,collision_gated_floor_prior,37:1:11-7-16,dining_table,behind,multi_seat_sofa,14,0,,,none,,,,"Position a grey dining chair with black legs behind a black multi-seat sofa with pillows. Finnally, position a black multi-seat sofa with pillows in front of a black plastic dining table.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,"[0.33174373583527306,0.3805484174378968,-0.15387796960322575]","[1.4140401810636032,0.31719701127176253,2.0432459100922884]"
EG02-DIN-0004,c5c99bbd-e9d2-40ff-b46c-43ed48e08864_LivingDiningRoom-7430,diningroom,collision_gated_floor_prior,150:0:15-7-17,loveseat_sofa,behind,pendant_lamp,6,8,,,none,,,,Place a black pendant lamp with hanging balls in front of a brown loveseat sofa.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,"[-0.45561182291407665,0.4920771608370813,-1.3557663880913289]","[0.10681961062387302,1.884463226698664,-0.03163526578496345]"
EG02-DIN-0005,ed28807d-83d3-437e-95bd-cf1392ad21e9_DiningRoom-55572,diningroom,collision_gated_floor_prior,167:1:15-7-7,loveseat_sofa,behind,console_table,6,10,,,none,,,,"Put a gray loveseat sofa behind a gray loveseat sofa. Next, arrange a gray loveseat sofa behind a grey console table with metal legs.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,"[0.7749124481880276,0.40241372225778654,-3.9679425350975555]","[-0.7612711155789871,0.408034168905373,0.3914003757282689]"
EG02-DIN-0006,08c22a05-81e2-41f4-8e22-c707aa082bdd_DiningRoom-17995,diningroom,collision_gated_floor_prior,6:0:11-5-17,dining_table,below,pendant_lamp,8,4,,,none,,,,Position a black pendant lamp with glass shades above a black dining table with a black top.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,"[-0.13457629675243954,0.3685349521003438,-0.5711220438471916]","[-0.10190259741735375,2.0817541492609672,-0.6093528840312059]"
EG02-DIN-0007,0a9c667d-033d-448c-b17c-dc55e6d3c386_DiningRoom-11628,diningroom,collision_gated_floor_prior,11:1:11-5-17,dining_table,below,pendant_lamp,5,4,,,none,,,,"Place a dining chair closely in front of a dining table. Finnally, put a dining table below a pendant lamp.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,"[0.28742212906128195,0.37897355137164557,0.05373483538330337]","[0.35840603304342267,2.2198059710895373,0.06441711838024133]"
EG02-DIN-0008,0a9c667d-033d-448c-b17c-dc55e6d3c386_DiningRoom-11628,diningroom,collision_gated_floor_prior,11:0:11-9-10,dining_table,close to,dining_chair,5,0,,,none,,,,"Place a dining chair closely in front of a dining table. Finnally, put a dining table below a pendant lamp.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_front,1,1,"[0.28742212906128195,0.37897355137164557,0.05373483538330337]","[0.07163941493156312,0.3462133450478322,-0.7889140072389935]"
EG02-DIN-0009,15bed03e-d66d-4da2-8b8f-7dacde3d3d8b_DiningRoom-35065,diningroom,collision_gated_floor_prior,16:1:10-4-11,dining_chair,close to,dining_table,0,1,,,none,,,,"Place a gray dining table with wooden legs closely in front of a gray dining chair with a black seat. Then, arrange a gray dining chair with a black seat closely in front of a gray dining table with wooden legs.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_behind,1,1,"[-1.0174573853160878,0.43804569037042645,0.013286004575165045]","[-0.5115576594333957,0.36114893996163777,0.7300681879870652]"
EG02-DIN-0010,1db2e62e-6516-47da-bc4d-6469ba619d2f_LivingDiningRoom-1654,diningroom,collision_gated_floor_prior,24:0:11-3-10,dining_table,close to,dining_chair,1,2,,,none,,,,Put a dining table closely to the left of a gray dining chair with black legs.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_left,1,1,"[-2.5331922250778125,0.3756633404867303,-0.7982682136622818]","[-1.8380594614489758,0.4138007320055913,-0.7089649243983072]"
EG02-DIN-0011,20e5f2e7-ab26-4119-b16a-5b7282ee0a70_DiningRoom-113004,diningroom,collision_gated_floor_prior,27:1:17-4-14,pendant_lamp,close to,lounge_chair,3,0,,,none,,,,Add a gray lounge chair with a wooden frame in front of a wooden console table with doors. Place a hanging pendant lamp with pots closely in front of a lounge chair.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_behind,1,1,"[2.0649150855550022,1.9275888244601738,0.5899317486913391]","[1.7225222797871096,0.5190011868020162,-0.16901081716990873]"
EG02-DIN-0012,57aca5c1-cbe5-4df7-922e-6c6cf9ba2a0e_DiningRoom-22308,diningroom,collision_gated_floor_prior,66:0:11-3-10,dining_table,close to,dining_chair,12,0,,,none,,,,Position a round dining table with metal base to the close left of a floral dining chair.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_left,1,1,"[2.2373318003386737,0.35564049930470365,1.3790187029662224]","[1.714408116334452,0.45204713736931695,1.9105118322130563]"
EG02-DIN-0013,672b75fe-1120-4627-80a9-5616d99c3423_DiningRoom-24272,diningroom,collision_gated_floor_prior,87:0:10-4-11,dining_chair,close to,dining_table,0,6,,,none,,,,Position a brown dining chair with an upholstered seat closely in front of a flower dining table.,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_behind,1,1,"[0.7242075780738757,0.5134829718021757,-0.13395781531585538]","[0.3412348482374723,0.3939921284619629,0.5413732653740766]"
EG02-DIN-0014,9d3329f3-b506-49ce-9edd-ac5155143bf4_DiningRoom-3017,diningroom,collision_gated_floor_prior,122:0:17-9-10,pendant_lamp,close to,dining_chair,3,0,,,none,,,,"Position a dining chair closely in front of a black pendant lamp with five lights. Then, place a pendant lamp above a black oval dining table with black legs.",results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_front,0,1,"[0.8603099963549461,2.0297662146291082,1.8492917114446925]","[0.7586649950080535,0.33845510997313816,2.3382374150806706]"
